

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Payables And Accrued Expenses                           10410000000.0   8803000000.0   6026000000.0   4664000000.0
Current Accrued Expenses                                 6766000000.0   5182000000.0   3317000000.0   2754000000.0
Payables                                                 3644000000.0   3621000000.0   2709000000.0   1910000000.0
Other Payable                                            3269000000.0   3281000000.0   2443000000.0   1736000000.0
Accounts Payable                                          375000000.0    340000000.0    266000000.0    174000000.0
Total Assets                                            90499000000.0  85501000000.0  82896000000.0  80919000000.0
Total Non Current Assets                                56967000000.0  55296000000.0  55289000000.0  53274000000.0
Other Non Current Assets                                 7520000000.0   7085000000.0   7247000000.0   6588000000.0
Investments And Advances                                 1921000000.0   2136000000.0   1705000000.0    231000000.0
Investmentin Financial Assets                            1921000000.0   2136000000.0   1705000000.0    231000000.0
Goodwill And Other Intangible Assets                    44101000000.0  42852000000.0  43622000000.0  43718000000.0
Other Intangible Assets                                 26104000000.0  25065000000.0  27664000000.0  27808000000.0
Goodwill                                                17997000000.0  17787000000.0  15958000000.0  15910000000.0
Net PPE                                                  3425000000.0   3223000000.0   2715000000.0   2737000000.0
Accumulated Depreciation                                -5355000000.0  -5658000000.0  -4959000000.0  -4424000000.0
Gross PPE                                                8780000000.0   8881000000.0   7674000000.0   7161000000.0
Construction In Progress                                  344000000.0    285000000.0    226000000.0    163000000.0
Machinery Furniture Equipment                            7343000000.0   7521000000.0   6368000000.0   5920000000.0
Buildings And Improvements                               1022000000.0   1003000000.0   1008000000.0   1007000000.0
Land And Improvements                                      71000000.0     72000000.0     72000000.0     71000000.0
Properties                                                        0.0            0.0            0.0            0.0
Current Assets                                          33532000000.0  30205000000.0  27607000000.0  27645000000.0
Other Current Assets                                     4161000000.0   3940000000.0   1359000000.0   1214000000.0
Restricted Cash                                          4769000000.0   3791000000.0   3154000000.0   2751000000.0
Prepaid Assets                                                    NaN   2668000000.0    856000000.0    757000000.0
Receivables                                              4474000000.0   3952000000.0   3726000000.0   2882000000.0
Other Receivables                                        2183000000.0   1932000000.0   1758000000.0   1264000000.0
Accounts Receivable                                      2291000000.0   2020000000.0   1968000000.0   1618000000.0
Cash Cash Equivalents And Short Term Investments        20128000000.0  18522000000.0  18512000000.0  20041000000.0
Other Short Term Investments                             3842000000.0   2833000000.0   2025000000.0   3752000000.0
Cash And Cash Equivalents                               16286000000.0  15689000000.0  16487000000.0  16289000000.0



PG Financials(Income Statement/Balance Sheet):

Income Statement for PG                                                       2023-06-30     2022-06-30     2021-06-30     2020-06-30
Tax Effect Of Unusual Items                                   0.0            0.0            0.0            0.0
Tax Rate For Calcs                                          0.197          0.178          0.185          0.172
Normalized EBITDA                                   21823000000.0  21241000000.0  20852000000.0  19312000000.0
Total Unusual Items                                           NaN            NaN            0.0            0.0
Total Unusual Items Excluding Goodwill                        NaN            NaN            0.0            0.0
Net Income From Continuing Operation Net Minori...  14653000000.0  14742000000.0  14306000000.0  13027000000.0
Reconciled Depreciation                              2714000000.0   2807000000.0   2735000000.0   3013000000.0
Reconciled Cost Of Revenue                          42760000000.0  42157000000.0  37108000000.0  35250000000.0
EBITDA                                              21823000000.0  21241000000.0  20852000000.0  19312000000.0
EBIT                                                19109000000.0  18434000000.0  18117000000.0  16299000000.0
Net Interest Income                                  -449000000.0   -388000000.0   -457000000.0   -310000000.0
Interest Expense                                      756000000.0    439000000.0    502000000.0    465000000.0
Interest Income                                       307000000.0     51000000.0     45000000.0    155000000.0
Normalized Income                                   14653000000.0  14742000000.0  14306000000.0  13027000000.0
Net Income From Continuing And Discontinued Ope...  14653000000.0  14742000000.0  14306000000.0  13027000000.0
Total Expenses                                      63872000000.0  62374000000.0  58132000000.0  55244000000.0
Total Operating Income As Reported                  18134000000.0  17813000000.0  17986000000.0  15706000000.0
Diluted Average Shares                               2483900000.0   2539100000.0   2601000000.0   2625800000.0
Basic Average Shares                                 2368200000.0   2457000000.0   2514235501.0   2539376218.0
Diluted EPS                                                   5.9           5.81            5.5           4.96
Basic EPS                                                    6.07            6.0           5.69           5.13
Diluted NI Availto Com Stockholders                 14653000000.0  14742000000.0  14306000000.0  13027000000.0
Average Dilution Earnings                             282000000.0    281000000.0    271000000.0    263000000.0
Net Income Common Stockholders                      14371000000.0  14461000000.0  14035000000.0  12764000000.0
Preferred Stock Dividends                             282000000.0    281000000.0    271000000.0    263000000.0
Net Income                                          14653000000.0  14742000000.0  14306000000.0  13027000000.0
Minority Interests                                    -85000000.0    -51000000.0    -46000000.0    -76000000.0
Net Income Including Noncontrolling Interests       14738000000.0  14793000000.0  14352000000.0  13103000000.0
Net Income Continuous Operations                    14738000000.0  14793000000.0  14352000000.0  13103000000.0
Tax Provision                                        3615000000.0   3202000000.0   3263000000.0   2731000000.0
Pretax Income                                       18353000000.0  17995000000.0  17615000000.0  15834000000.0
Other Income Expense                                  668000000.0    570000000.0     86000000.0    438000000.0
Other Non Operating Income Expenses                   668000000.0    570000000.0     86000000.0    438000000.0
Special Income Charges                                        NaN            NaN            0.0            0.0
Impairment Of Capital Assets                                  NaN            NaN            0.0            0.0
Net Non Operating Interest Income Expense            -449000000.0   -388000000.0   -457000000.0   -310000000.0
Interest Expense Non Operating                        756000000.0    439000000.0    502000000.0    465000000.0
Interest Income Non Operating                         307000000.0     51000000.0     45000000.0    155000000.0
Operating Income                                    18134000000.0  17813000000.0  17986000000.0  15706000000.0
Operating Expense                                   21112000000.0  20217000000.0  21024000000.0  19994000000.0
Selling General And Administration                  21112000000.0  20217000000.0  21024000000.0  19994000000.0
Gross Profit                                        39246000000.0  38030000000.0  39010000000.0  35700000000.0
Cost Of Revenue                                     42760000000.0  42157000000.0  37108000000.0  35250000000.0
Total Revenue                                       82006000000.0  80187000000.0  76118000000.0  70950000000.0
Operating Revenue                                   82006000000.0  80187000000.0  76118000000.0  70950000000.0

Balance Sheet for PG                                                                2023-06-30      2022-06-30      2021-06-30      2020-06-30
Treasury Shares Number                                        1647100000.0    1615400000.0    1579500000.0    1529500000.0
Ordinary Shares Number                                        2362100000.0    2393800000.0    2429700000.0    2479700000.0
Share Issued                                                  4009200000.0    4009200000.0    4009200000.0    4009200000.0
Net Debt                                                     26361000000.0   24279000000.0   21700000000.0   18539000000.0
Total Debt                                                   35424000000.0   32293000000.0   32838000000.0   35611000000.0
Tangible Book Value                                         -18484000000.0  -17633000000.0  -19058000000.0  -18069000000.0
Invested Capital                                             80565000000.0   77239000000.0   77496000000.0   80344000000.0
Working Capital                                             -13108000000.0  -11428000000.0  -10041000000.0   -4989000000.0
Net Tangible Assets                                         -17665000000.0  -16790000000.0  -18188000000.0  -17172000000.0
Capital Lease Obligations                                      817000000.0     800000000.0     850000000.0     891000000.0
Common Stock Equity                                          45958000000.0   45746000000.0   45508000000.0   45624000000.0
Preferred Stock Equity                                         819000000.0     843000000.0     870000000.0     897000000.0
Total Capitalization                                         71155000000.0   69437000000.0   69477000000.0   70058000000.0
Total Equity Gross Minority Interest                         47065000000.0   46854000000.0   46654000000.0   46878000000.0
Minority Interest                                              288000000.0     265000000.0     276000000.0     357000000.0
Stockholders Equity                                          46777000000.0   46589000000.0   46378000000.0   46521000000.0
Gains Losses Not Affecting Retained Earnings                -13041000000.0  -13105000000.0  -14750000000.0  -17245000000.0
Other Equity Adjustments                                    -12220000000.0  -12189000000.0  -13744000000.0  -16165000000.0
Minimum Pension Liabilities                                   -821000000.0    -916000000.0   -1006000000.0   -1080000000.0
Treasury Stock                                              129736000000.0  123382000000.0  114973000000.0  105573000000.0
Retained Earnings                                           118170000000.0  112429000000.0  106374000000.0  100239000000.0
Additional Paid In Capital                                   66556000000.0   65795000000.0   64848000000.0   64194000000.0
Capital Stock                                                 4828000000.0    4852000000.0    4879000000.0    4906000000.0
Common Stock                                                  4009000000.0    4009000000.0    4009000000.0    4009000000.0
Preferred Stock                                                819000000.0     843000000.0     870000000.0     897000000.0
Total Liabilities Net Minority Interest                      73764000000.0   70354000000.0   72653000000.0   73822000000.0
Total Non Current Liabilities Net Minority Interest          38008000000.0   37273000000.0   39521000000.0   40846000000.0
Other Non Current Liabilities                                  530000000.0     490000000.0     579000000.0     569000000.0
Derivative Product Liabilities                                 445000000.0     307000000.0             NaN             NaN
Employee Benefits                                             3806000000.0    3811000000.0    6374000000.0    7188000000.0
Non Current Pension And Other Postretirement Benefit Plans    3806000000.0    3811000000.0    6374000000.0    7188000000.0
Tradeand Other Payables Non Current                           1776000000.0    2413000000.0    2685000000.0    2701000000.0
Non Current Deferred Liabilities                              6478000000.0    6809000000.0    6153000000.0    6199000000.0
Non Current Deferred Taxes Liabilities                        6478000000.0    6809000000.0    6153000000.0    6199000000.0
Long Term Debt And Capital Lease Obligation                  24973000000.0   23443000000.0   23730000000.0   24189000000.0
Long Term Capital Lease Obligation                             595000000.0     595000000.0     631000000.0     652000000.0
Long Term Debt                                               24378000000.0   22848000000.0   23099000000.0   23537000000.0
Current Liabilities                                          35756000000.0   33081000000.0   33132000000.0   32976000000.0
Other Current Liabilities                                     3781000000.0    2940000000.0    3104000000.0    2866000000.0
Current Debt And Capital Lease Obligation                    10451000000.0    8850000000.0    9108000000.0   11422000000.0
Current Capital Lease Obligation                               222000000.0     205000000.0     219000000.0     239000000.0
Current Debt                                                 10229000000.0    8645000000.0    8889000000.0   11183000000.0
Other Current Borrowings                                      3993000000.0    3840000000.0    3718000000.0    2638000000.0
Commercial Paper                                              6236000000.0    4805000000.0    5171000000.0    8545000000.0
Pensionand Other Post Retirement Benefit Plans Current        2030000000.0    1797000000.0    2145000000.0    1921000000.0
Current Provisions                                             174000000.0     147000000.0     278000000.0     472000000.0
Payables And Accrued Expenses                                19320000000.0   19347000000.0   18497000000.0   16295000000.0
Current Accrued Expenses                                      3894000000.0    3878000000.0    4140000000.0    3531000000.0
Payables                                                     15426000000.0   15469000000.0   14357000000.0   12764000000.0
Total Tax Payable                                              828000000.0     587000000.0     637000000.0     693000000.0
Accounts Payable                                             14598000000.0   14882000000.0   13720000000.0   12071000000.0
Total Assets                                                120829000000.0  117208000000.0  119307000000.0  120700000000.0
Total Non Current Assets                                     98181000000.0   95555000000.0   96216000000.0   92713000000.0
Other Non Current Assets                                     11830000000.0   10981000000.0    9964000000.0    8328000000.0
Goodwill And Other Intangible Assets                         64442000000.0   63379000000.0   64566000000.0   63693000000.0
Other Intangible Assets                                      23783000000.0   23679000000.0   23642000000.0   23792000000.0
Goodwill                                                     40659000000.0   39700000000.0   40924000000.0   39901000000.0
Net PPE                                                      21909000000.0   21195000000.0   21686000000.0   20692000000.0
Accumulated Depreciation                                    -26736000000.0  -25502000000.0  -25012000000.0  -23079000000.0
Gross PPE                                                    48645000000.0   46697000000.0   46698000000.0   43771000000.0
Construction In Progress                                      2980000000.0    2756000000.0    2358000000.0    2034000000.0
Machinery Furniture Equipment                                36521000000.0   35098000000.0   35367000000.0   33260000000.0
Buildings And Improvements                                    8277000000.0    8087000000.0    8165000000.0    7700000000.0
Land And Improvements                                          867000000.0     756000000.0     808000000.0     777000000.0
Properties                                                             0.0             0.0             0.0             0.0
Current Assets                                               22648000000.0   21653000000.0   23091000000.0   27987000000.0
Other Current Assets                                          1858000000.0    2372000000.0    2095000000.0    2130000000.0
Prepaid Assets                                                         NaN    2372000000.0    2095000000.0    2130000000.0
Inventory                                                     7073000000.0    6924000000.0    5983000000.0    5498000000.0
Finished Goods                                                4254000000.0    3900000000.0    3619000000.0    3410000000.0
Work In Process                                                956000000.0     856000000.0     719000000.0     674000000.0
Raw Materials                                                 1863000000.0    2168000000.0    1645000000.0    1414000000.0
Receivables                                                   5471000000.0    5143000000.0    4725000000.0    4178000000.0
Accounts Receivable                                           5471000000.0    5143000000.0    4725000000.0    4178000000.0
Cash Cash Equivalents And Short Term Investments              8246000000.0    7214000000.0   10288000000.0   16181000000.0
Other Short Term Investments                                           NaN             NaN             NaN             0.0
Cash And Cash Equivalents                                     8246000000.0    7214000000.0   10288000000.0   16181000000.0



HD Financials(Income Statement/Balance Sheet):

Income Statement for HD                                                        2024-01-31      2023-01-31      2022-01-31      2021-01-31
Tax Effect Of Unusual Items                                    0.0             0.0             0.0             0.0
Tax Rate For Calcs                                            0.24           0.239           0.244           0.242
Normalized EBITDA                                    25114000000.0   27069000000.0   25946000000.0   20844000000.0
Total Unusual Items                                            NaN             NaN             NaN             0.0
Total Unusual Items Excluding Goodwill                         NaN             NaN             NaN             0.0
Net Income From Continuing Operation Net Minori...   15143000000.0   17105000000.0   16433000000.0   12866000000.0
Reconciled Depreciation                               3247000000.0    2975000000.0    2862000000.0    2519000000.0
Reconciled Cost Of Revenue                          101135000000.0  104105000000.0   99849000000.0   86866000000.0
EBITDA                                               25114000000.0   27069000000.0   25946000000.0   20844000000.0
EBIT                                                 21867000000.0   24094000000.0   23084000000.0   18325000000.0
Net Interest Income                                  -1765000000.0   -1562000000.0   -1303000000.0   -1300000000.0
Interest Expense                                      1943000000.0    1617000000.0    1347000000.0    1347000000.0
Interest Income                                        178000000.0      55000000.0      44000000.0      47000000.0
Normalized Income                                    15143000000.0   17105000000.0   16433000000.0   12866000000.0
Net Income From Continuing And Discontinued Ope...   15143000000.0   17105000000.0   16433000000.0   12866000000.0
Total Expenses                                      130980000000.0  133364000000.0  128117000000.0  113832000000.0
Total Operating Income As Reported                   21689000000.0   24039000000.0   23040000000.0   18278000000.0
Diluted Average Shares                                1002000000.0    1025000000.0    1058000000.0    1078000000.0
Basic Average Shares                                   999000000.0          1022.0          1054.0    1074000000.0
Diluted EPS                                                  15.11           16.69           15.53           11.94
Basic EPS                                                    15.16           16.74           15.59           11.98
Diluted NI Availto Com Stockholders                  15143000000.0   17105000000.0   16433000000.0   12866000000.0
Net Income Common Stockholders                       15143000000.0   17105000000.0   16433000000.0   12866000000.0
Net Income                                           15143000000.0   17105000000.0   16433000000.0   12866000000.0
Net Income Including Noncontrolling Interests        15143000000.0   17105000000.0   16433000000.0   12866000000.0
Net Income Continuous Operations                     15143000000.0   17105000000.0   16433000000.0   12866000000.0
Tax Provision                                         4781000000.0    5372000000.0    5304000000.0    4112000000.0
Pretax Income                                        19924000000.0   22477000000.0   21737000000.0   16978000000.0
Other Income Expense                                    -1000000.0       1000000.0     -35000000.0             NaN
Other Non Operating Income Expenses                     -1000000.0       1000000.0     -35000000.0             NaN
Special Income Charges                                         NaN             NaN             NaN             0.0
Impairment Of Capital Assets                                   NaN             NaN             NaN             0.0
Net Non Operating Interest Income Expense            -1765000000.0   -1562000000.0   -1303000000.0   -1300000000.0
Interest Expense Non Operating                        1943000000.0    1617000000.0    1347000000.0    1347000000.0
Interest Income Non Operating                          178000000.0      55000000.0      44000000.0      47000000.0
Operating Income                                     21689000000.0   24039000000.0   23040000000.0   18278000000.0
Operating Expense                                    29271000000.0   28739000000.0   27792000000.0   26575000000.0
Depreciation Amortization Depletion Income Stat...    2673000000.0    2455000000.0    2386000000.0    2128000000.0
Depreciation And Amortization In Income Statement     2673000000.0    2455000000.0    2386000000.0    2128000000.0
Selling General And Administration                   26598000000.0   26284000000.0   25406000000.0   24447000000.0
Gross Profit                                         50960000000.0   52778000000.0   50832000000.0   44853000000.0
Cost Of Revenue                                     101709000000.0  104625000000.0  100325000000.0   87257000000.0
Total Revenue                                       152669000000.0  157403000000.0  151157000000.0  132110000000.0
Operating Revenue                                   152669000000.0  157403000000.0  151157000000.0  132110000000.0

Balance Sheet for HD                                                        2024-01-31     2023-01-31     2022-01-31     2021-01-31
Treasury Shares Number                                 804000000.0    778000000.0    757000000.0    712000000.0
Ordinary Shares Number                                 992000000.0   1016000000.0   1035000000.0   1077000000.0
Share Issued                                          1796000000.0   1794000000.0   1792000000.0   1789000000.0
Net Debt                                             40351000000.0  40436000000.0  37743000000.0  29343000000.0
Total Debt                                           52243000000.0  50364000000.0  46269000000.0  43422000000.0
Tangible Book Value                                 -11017000000.0  -9205000000.0 -12648000000.0  -3827000000.0
Invested Capital                                     45155000000.0  44755000000.0  38390000000.0  40537000000.0
Working Capital                                       7760000000.0   9361000000.0    362000000.0   5311000000.0
Net Tangible Assets                                 -11017000000.0  -9205000000.0 -12648000000.0  -3827000000.0
Capital Lease Obligations                             8132000000.0   7171000000.0   6183000000.0   6184000000.0
Common Stock Equity                                   1044000000.0   1562000000.0  -1696000000.0   3299000000.0
Total Capitalization                                 43787000000.0  43524000000.0  34908000000.0  39121000000.0
Total Equity Gross Minority Interest                  1044000000.0   1562000000.0  -1696000000.0   3299000000.0
Stockholders Equity                                   1044000000.0   1562000000.0  -1696000000.0   3299000000.0
Gains Losses Not Affecting Retained Earnings          -477000000.0   -718000000.0   -704000000.0   -671000000.0
Other Equity Adjustments                              -477000000.0   -718000000.0   -704000000.0   -671000000.0
Treasury Stock                                       95372000000.0  87298000000.0  80794000000.0  65793000000.0
Retained Earnings                                    83656000000.0  76896000000.0  67580000000.0  58134000000.0
Additional Paid In Capital                           13147000000.0  12592000000.0  12132000000.0  11540000000.0
Capital Stock                                           90000000.0     90000000.0     90000000.0     89000000.0
Common Stock                                            90000000.0     90000000.0     90000000.0     89000000.0
Total Liabilities Net Minority Interest              74830000000.0  74883000000.0  73572000000.0  67282000000.0
Total Non Current Liabilities Net Minority Interest  52815000000.0  51773000000.0  44879000000.0  44116000000.0
Other Non Current Liabilities                         2127000000.0   2566000000.0   2013000000.0   1807000000.0
Non Current Deferred Liabilities                       863000000.0   1019000000.0    909000000.0   1131000000.0
Non Current Deferred Taxes Liabilities                 863000000.0   1019000000.0    909000000.0   1131000000.0
Long Term Debt And Capital Lease Obligation          49825000000.0  48188000000.0  41957000000.0  41178000000.0
Long Term Capital Lease Obligation                    7082000000.0   6226000000.0   5353000000.0   5356000000.0
Long Term Debt                                       42743000000.0  41962000000.0  36604000000.0  35822000000.0
Current Liabilities                                  22015000000.0  23110000000.0  28693000000.0  23166000000.0
Current Deferred Liabilities                          2762000000.0   3064000000.0   3596000000.0   2823000000.0
Current Deferred Revenue                              2762000000.0   3064000000.0   3596000000.0   2823000000.0
Current Debt And Capital Lease Obligation             2418000000.0   2176000000.0   4312000000.0   2244000000.0
Current Capital Lease Obligation                      1050000000.0    945000000.0    830000000.0    828000000.0
Current Debt                                          1368000000.0   1231000000.0   3482000000.0   1416000000.0
Other Current Borrowings                              1368000000.0   1231000000.0   2447000000.0   1416000000.0
Commercial Paper                                               NaN            0.0   1035000000.0            0.0
Payables And Accrued Expenses                        16835000000.0  17870000000.0  20785000000.0  18099000000.0
Current Accrued Expenses                              6321000000.0   5849000000.0   6317000000.0   5526000000.0
Payables                                             10514000000.0  12021000000.0  14468000000.0  12573000000.0
Total Tax Payable                                      477000000.0    578000000.0   1006000000.0    967000000.0
Income Tax Payable                                      28000000.0     50000000.0    158000000.0    193000000.0
Accounts Payable                                     10037000000.0  11443000000.0  13462000000.0  11606000000.0
Total Assets                                         75874000000.0  76445000000.0  71876000000.0  70581000000.0
Total Non Current Assets                             46099000000.0  43974000000.0  42821000000.0  42104000000.0
Other Non Current Assets                                       NaN    635000000.0    702000000.0   4311000000.0
Non Current Deferred Assets                                    NaN            NaN    344000000.0    305000000.0
Non Current Deferred Taxes Assets                              NaN            NaN    344000000.0    305000000.0
Financial Assets                                               NaN            NaN     58000000.0    172000000.0
Goodwill And Other Intangible Assets                 12061000000.0  10767000000.0  10952000000.0   7126000000.0
Other Intangible Assets                               3606000000.0   3323000000.0   3503000000.0   3612000000.0
Goodwill                                              8455000000.0   7444000000.0   7449000000.0   7126000000.0
Net PPE                                              34038000000.0  32572000000.0  31167000000.0  30667000000.0
Accumulated Depreciation                            -27103000000.0 -26644000000.0 -26130000000.0 -24096000000.0
Gross PPE                                            61141000000.0  59216000000.0  57297000000.0  54763000000.0
Leases                                                2254000000.0   2130000000.0   2016000000.0   1925000000.0
Construction In Progress                              1192000000.0   1297000000.0   1139000000.0   1068000000.0
Other Properties                                     11971000000.0  11076000000.0   9911000000.0   9270000000.0
Machinery Furniture Equipment                        16667000000.0  16564000000.0  16441000000.0  15119000000.0
Buildings And Improvements                           20030000000.0  19430000000.0  19173000000.0  18838000000.0
Land And Improvements                                 9027000000.0   8719000000.0   8617000000.0   8543000000.0
Properties                                                     0.0            0.0            0.0            0.0
Current Assets                                       29775000000.0  32471000000.0  29055000000.0  28477000000.0
Other Current Assets                                  1711000000.0   1511000000.0   1218000000.0    963000000.0
Inventory                                            20976000000.0  24886000000.0  22068000000.0  16627000000.0
Finished Goods                                       20976000000.0  24886000000.0  22068000000.0  16627000000.0
Receivables                                           3328000000.0   3317000000.0   3426000000.0   2992000000.0
Other Receivables                                      575000000.0    495000000.0    525000000.0    442000000.0
Accounts Receivable                                   2753000000.0   2822000000.0   2901000000.0   2550000000.0
Cash Cash Equivalents And Short Term Investments      3760000000.0   2757000000.0   2343000000.0   7895000000.0
Cash And Cash Equivalents                             3760000000.0   2757000000.0   2343000000.0   7895000000.0



MA Financials(Income Statement/Balance Sheet):

Income Statement for MA                                                       2023-12-31     2022-12-31     2021-12-31     2020-12-31
Tax Effect Of Unusual Items                           -73211000.0    -83468000.0     80227000.0     -4872000.0
Tax Rate For Calcs                                          0.179          0.154          0.157          0.174
Normalized EBITDA                                   15422000000.0  13495000000.0  10953000000.0   8748000000.0
Total Unusual Items                                  -409000000.0   -542000000.0    511000000.0    -28000000.0
Total Unusual Items Excluding Goodwill               -409000000.0   -542000000.0    511000000.0    -28000000.0
Net Income From Continuing Operation Net Minori...  11195000000.0   9930000000.0   8687000000.0   6411000000.0
Reconciled Depreciation                               799000000.0    750000000.0    726000000.0    580000000.0
Reconciled Cost Of Revenue                           6022000000.0   5263000000.0   4489000000.0   3787000000.0
EBITDA                                              15013000000.0  12953000000.0  11464000000.0   8720000000.0
EBIT                                                14214000000.0  12203000000.0  10738000000.0   8140000000.0
Net Interest Income                                  -575000000.0   -471000000.0   -431000000.0   -380000000.0
Interest Expense                                      575000000.0    471000000.0    431000000.0    380000000.0
Normalized Income                                   11530789000.0  10388532000.0   8256227000.0   6434128000.0
Net Income From Continuing And Discontinued Ope...  11195000000.0   9930000000.0   8687000000.0   6411000000.0
Total Expenses                                      10468000000.0   9515000000.0   8657000000.0   7138000000.0
Total Operating Income As Reported                  14008000000.0  12264000000.0  10082000000.0   8081000000.0
Diluted Average Shares                                        NaN    971000000.0    992000000.0   1006000000.0
Basic Average Shares                                          NaN    968000000.0    988000000.0   1002000000.0
Diluted EPS                                                   NaN          10.22           8.76           6.37
Basic EPS                                                     NaN          10.26           8.79            6.4
Diluted NI Availto Com Stockholders                 11195000000.0   9930000000.0   8687000000.0   6411000000.0
Net Income Common Stockholders                      11195000000.0   9930000000.0   8687000000.0   6411000000.0
Net Income                                          11195000000.0   9930000000.0   8687000000.0   6411000000.0
Net Income Including Noncontrolling Interests       11195000000.0   9930000000.0   8687000000.0   6411000000.0
Net Income Continuous Operations                    11195000000.0   9930000000.0   8687000000.0   6411000000.0
Tax Provision                                        2444000000.0   1802000000.0   1620000000.0   1349000000.0
Pretax Income                                       13639000000.0  11732000000.0  10307000000.0   7760000000.0
Other Income Expense                                 -416000000.0   -519000000.0    511000000.0    -23000000.0
Other Non Operating Income Expenses                    -7000000.0     23000000.0            NaN      5000000.0
Special Income Charges                               -539000000.0   -356000000.0    -94000000.0    -73000000.0
Other Special Charges                                 539000000.0    356000000.0     94000000.0     73000000.0
Gain On Sale Of Security                              130000000.0   -186000000.0    605000000.0     45000000.0
Net Non Operating Interest Income Expense            -575000000.0   -471000000.0   -431000000.0   -380000000.0
Interest Expense Non Operating                        575000000.0    471000000.0    431000000.0    380000000.0
Operating Income                                    14630000000.0  12722000000.0  10227000000.0   8163000000.0
Operating Expense                                    4446000000.0   4252000000.0   4168000000.0   3351000000.0
Depreciation Amortization Depletion Income Stat...    799000000.0    750000000.0    726000000.0    580000000.0
Depreciation And Amortization In Income Statement     799000000.0    750000000.0    726000000.0    580000000.0
Selling General And Administration                   3647000000.0   3502000000.0   3442000000.0   2771000000.0
Selling And Marketing Expense                         825000000.0    789000000.0    895000000.0    657000000.0
General And Administrative Expense                   2822000000.0   2713000000.0   2547000000.0   2114000000.0
Other Gand A                                         2822000000.0   2713000000.0   2547000000.0   2114000000.0
Gross Profit                                        19076000000.0  16974000000.0  14395000000.0  11514000000.0
Cost Of Revenue                                      6022000000.0   5263000000.0   4489000000.0   3787000000.0
Total Revenue                                       25098000000.0  22237000000.0  18884000000.0  15301000000.0
Operating Revenue                                   25098000000.0  22237000000.0  18884000000.0  18899000000.0

Balance Sheet for MA                                                        2023-12-31     2022-12-31     2021-12-31     2020-12-31
Treasury Shares Number                                 475000000.0    451000000.0    425000000.0    409000000.0
Ordinary Shares Number                                 934000000.0    956000000.0    980000000.0    995454904.0
Share Issued                                          1409000000.0   1407000000.0   1405000000.0   1404454904.0
Net Debt                                              7093000000.0   7015000000.0   6480000000.0   2559000000.0
Total Debt                                           15681000000.0  14023000000.0  13901000000.0  12672000000.0
Tangible Book Value                                  -4817000000.0  -5083000000.0  -4021000000.0   -322000000.0
Invested Capital                                     22610000000.0  20321000000.0  21213000000.0  19063000000.0
Working Capital                                       2697000000.0   2435000000.0   3787000000.0   7266000000.0
Net Tangible Assets                                  -4817000000.0  -5083000000.0  -4021000000.0   -322000000.0
Common Stock Equity                                   6929000000.0   6298000000.0   7312000000.0   6391000000.0
Total Capitalization                                 21273000000.0  20047000000.0  20421000000.0  18414000000.0
Total Equity Gross Minority Interest                  6997000000.0   6377000000.0   7412000000.0   6517000000.0
Minority Interest                                       68000000.0     79000000.0    100000000.0    126000000.0
Stockholders Equity                                   6929000000.0   6298000000.0   7312000000.0   6391000000.0
Gains Losses Not Affecting Retained Earnings         -1099000000.0  -1253000000.0   -809000000.0   -680000000.0
Other Equity Adjustments                             -1099000000.0  -1253000000.0   -809000000.0   -680000000.0
Treasury Stock                                       60429000000.0  51354000000.0  42588000000.0  36658000000.0
Retained Earnings                                    62564000000.0  53607000000.0  45648000000.0  38747000000.0
Additional Paid In Capital                            5893000000.0   5298000000.0   5061000000.0   4982000000.0
Capital Stock                                                  0.0            0.0            0.0            0.0
Common Stock                                                   0.0            0.0            0.0            0.0
Total Liabilities Net Minority Interest              35451000000.0  32347000000.0  30257000000.0  27067000000.0
Total Non Current Liabilities Net Minority Interest  19187000000.0  18176000000.0  17095000000.0  15220000000.0
Other Non Current Liabilities                         4474000000.0   4034000000.0   3591000000.0   3111000000.0
Preferred Securities Outside Stock Equity                      NaN            NaN     29000000.0     29000000.0
Non Current Deferred Liabilities                       369000000.0    393000000.0    395000000.0     86000000.0
Non Current Deferred Taxes Liabilities                 369000000.0    393000000.0    395000000.0     86000000.0
Long Term Debt And Capital Lease Obligation          14344000000.0  13749000000.0  13109000000.0  12023000000.0
Long Term Debt                                       14344000000.0  13749000000.0  13109000000.0  12023000000.0
Current Liabilities                                  16264000000.0  14171000000.0  13162000000.0  11847000000.0
Other Current Liabilities                             4853000000.0   4076000000.0   4150000000.0   2924000000.0
Current Debt And Capital Lease Obligation             1337000000.0    274000000.0    792000000.0    649000000.0
Current Debt                                          1337000000.0    274000000.0    792000000.0    649000000.0
Other Current Borrowings                                       NaN            NaN    792000000.0    649000000.0
Payables And Accrued Expenses                        10074000000.0   9821000000.0   8220000000.0   8274000000.0
Current Accrued Expenses                              8754000000.0   8616000000.0   7145000000.0   6064000000.0
Payables                                              1320000000.0   1205000000.0   1075000000.0   2210000000.0
Other Payable                                                  NaN            NaN    913000000.0   1475000000.0
Total Tax Payable                                      486000000.0    279000000.0    337000000.0    208000000.0
Accounts Payable                                       834000000.0    926000000.0    738000000.0    527000000.0
Total Assets                                         42448000000.0  38724000000.0  37669000000.0  33584000000.0
